10000,0.002042782,0.003413941,
8254.042,0.002043053,0.002827015,
6812.921,0.002036807,0.002341762,
5623.413,0.002024945,0.001940902,
4641.588,0.002014568,0.00160794,
3831.186,0.00200959,0.001332128,
3162.277,0.002008568,0.001099461,
2610.157,0.002002151,0.0009054659,
2154.434,0.002002008,0.0007477232,
1778.279,0.001998909,0.0006147115,
1467.799,0.00199267,0.0005014468,
1211.527,0.001983813,0.0004088245,
999.9997,0.001982579,0.0003298302,
825.4039,0.001994279,0.0002640498,
681.2919,0.001997499,0.0002095237,
562.3411,0.001997211,0.000165253,
464.1587,0.002000302,0.0001234805,
383.1185,0.001999764,9.343046e-05,
316.2276,0.002003494,6.320201e-05,
261.0156,0.002006345,4.020682e-05,
215.4434,0.00202197,1.766007e-05,
177.8279,0.002021007,6.917616e-07,
146.7798,0.002034209,-1.728072e-05,
121.1527,0.002030979,-3.317831e-05,
99.99994,0.002039806,-4.51976e-05,
82.54037,0.002029588,-6.076951e-05,
68.12917,0.002037633,-7.387868e-05,
56.2341,0.002044733,-8.643927e-05,
46.41586,0.00206301,-9.965058e-05,
38.31184,0.002072067,-0.0001160585,
31.62276,0.00207979,-0.0001293612,
26.10155,0.002093637,-0.000144874,
21.54433,0.002106097,-0.0001628289,
17.78278,0.002120695,-0.0001783419,
14.67798,0.00213731,-0.0001974825,
12.11527,0.002154052,-0.0002193456,
9.99999,0.002171982,-0.0002377706,
8.254034,0.00219656,-0.0002595818,
6.812914,0.002223972,-0.0002826547,
5.623407,0.002248889,-0.0003073842,
4.641584,0.002286553,-0.0003327812,
3.831183,0.002319014,-0.0003752518,
3.162274,0.002354214,-0.0004011095,
2.610154,0.002392381,-0.0004360321,
2.154432,0.002417261,-0.0004646055,
1.778277,0.002448859,-0.000507894,
1.467797,0.002478598,-0.0005710867,
1.211526,0.002501251,-0.0006402586,
0.999999,0.002525889,-0.0007443112,
0.825403,0.002540135,-0.0008598972,
0.681291,0.002559239,-0.001010046,
0.56234,0.002578496,-0.001180247,
0.464158,0.002609109,-0.001400757,
0.383118,0.002619192,-0.001673667,
0.316227,0.002648982,-0.001979338,
0.261015,0.002677632,-0.002339949,
0.215443,0.002707463,-0.002795182,
0.177828,0.002741334,-0.003349177,
0.14678,0.002768769,-0.004025411,
0.121153,0.002802542,-0.004813332,
0.1,0.002838212,-0.005761276,
0.08254,0.002884285,-0.006939364,
0.068129,0.002921231,-0.008349669,
0.056234,0.002947698,-0.01007983,
0.046416,0.002967464,-0.01213811,
0.038312,0.002991753,-0.01464454,
0.031623,0.003038745,-0.01764584,
0.026102,0.003100056,-0.02132246,
0.021544,0.003147142,-0.02575131,
0.017783,0.003206837,-0.03113657,
0.014678,0.003308977,-0.03762975,
0.012115,0.003394793,-0.04547181,
0.01,0.003493254,-0.05494863,
